Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,15,0.502,24.30,0.4828
AMDD,59,1.009,22.20,0.4091
AMDD,96,1.505,21.93,0.4025
AMDD,100,1.543,21.92,0.4022
AMDD,138,2.000,21.87,0.4012
AMDD,172,2.502,21.86,0.4010
AMDD,200,2.964,21.86,0.4010
AMDD,203,3.003,21.86,0.4010
AMDD,239,3.507,21.86,0.4010
AMDD,271,4.015,21.86,0.4010
AMDD,300,4.422,21.86,0.4010
AMDD,305,4.507,21.86,0.4010
AMDD,334,5.000,21.86,0.4010
AMDD,365,5.511,21.86,0.4010
AMDD,390,6.002,21.86,0.4010
AMDD,400,6.164,21.86,0.4010
AMDD,418,6.523,21.86,0.4010
AMDD,442,7.001,21.86,0.4010
AMDD,476,7.512,21.86,0.4010
AMDD,500,7.848,21.86,0.4010
ISTA,100,0.374,21.82,0.3962
ISTA,123,0.518,21.83,0.3966
ISTA,140,1.005,21.84,0.3968
ISTA,200,1.425,21.84,0.3969
ISTA,222,1.501,21.84,0.3969
ISTA,300,1.801,21.84,0.3968
ISTA,356,2.003,21.84,0.3969
ISTA,400,2.223,21.84,0.3969
ISTA,460,2.503,21.84,0.3969
ISTA,500,2.667,21.84,0.3969
FISTA,100,0.434,21.82,0.3953
FISTA,115,0.503,21.82,0.3952
FISTA,200,0.885,21.82,0.3954
FISTA,226,1.003,21.82,0.3952
FISTA,300,1.395,21.82,0.3952
FISTA,309,1.501,21.82,0.3953
FISTA,400,1.914,21.82,0.3952
FISTA,419,2.001,21.82,0.3953
FISTA,500,2.355,21.82,0.3952

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.345
AMDD,23,1,0.345
AMDD,25,2,0.357
ISTA,20,19,0.069
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,10,0.036
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
17.081,20.57,0.4048
